first_name,surname,id_number,email_address,institution,department,checklist_rm1_week_1_progress_tracker_real,checklist_rm1_week_2_progress_tracker_real,checklist_rm1_week_3_progress_tracker_real,checklist_rm1_week_4_progress_tracker_real,checklist_rm1_week_5_progress_tracker_real,checklist_rm1_week_7_progress_tracker_real,checklist_rm1_week_8_progress_tracker_real,checklist_rm1_week_9_progress_tracker_real,checklist_rm1_week_10_progress_tracker_real,last_downloaded_from_this_course
Mahreen,Fidel,217341,217341@university.ac.uk,40000000,College of Social Sciences,100,44.44,100,NA,NA,NA,NA,NA,NA,1682498158
Yusuf,Jesi,229662,229662@university.ac.uk,40000000,College of Social Sciences,88.89,100,100,100,50,NA,42.86,NA,NA,1682498158
Shyloh,Attila,226638,226638@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,77.78,NA,NA,NA,NA,NA,NA,NA,1682498158
Roslyn,Romaysa,229780,229780@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,66.67,NA,NA,NA,NA,1682498158
Zerqa,Zarak,216807,216807@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,100,100,100,66.67,100,71.43,85.71,100,1682498158
Iden,Naseem,246802,246802@university.ac.uk,40000000,College of Social Sciences,88.89,66.67,83.33,100,100,NA,71.43,NA,NA,1682498158
Alta,Donny,272353,272353@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Amarah,Ardian,284113,284113@university.ac.uk,20000000,College of Med Vet and Life Sciences,44.44,NA,16.67,NA,NA,NA,NA,NA,NA,1682498158
Khizer,Elyes,228256,228256@university.ac.uk,40000000,College of Social Sciences,66.67,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Gurpreet,Zubaida,272423,272423@university.ac.uk,40000000,College of Social Sciences,88.89,77.78,83.33,83.33,NA,33.33,NA,NA,NA,1682498158
Rosa-Leigh,Sinai,215681,215681@university.ac.uk,40000000,College of Social Sciences,88.89,66.67,16.67,NA,NA,33.33,NA,NA,NA,1682498158
Mikhaila,Amirah,218383,218383@university.ac.uk,40000000,College of Social Sciences,100,0,NA,NA,NA,NA,NA,NA,NA,1682498158
Sorcha,Neo,276910,276910@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,NA,16.67,NA,NA,NA,NA,NA,NA,1682498158
Callan,Tatenda,286265,286265@university.ac.uk,40000000,College of Social Sciences,55.56,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Alisia,Emircan,291092,291092@university.ac.uk,40000000,College of Social Sciences,100,88.89,100,66.67,NA,33.33,NA,NA,NA,1682498158
Monika,Baran,241216,241216@university.ac.uk,40000000,College of Social Sciences,100,88.89,33.33,NA,NA,NA,NA,NA,NA,1682498158
Ruben,Aleyna,255352,255352@university.ac.uk,40000000,College of Social Sciences,100,44.44,NA,NA,NA,NA,NA,NA,NA,1682498158
Joshua-Lucas,Rylie,218274,218274@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,100,100,NA,1682498158
Lucee,Yoanna,256320,256320@university.ac.uk,40000000,College of Social Sciences,100,100,66.67,50,NA,NA,NA,NA,NA,1682498158
Orville,Dylan-James,250006,250006@university.ac.uk,40000000,College of Social Sciences,100,100,100,83.33,NA,NA,NA,NA,NA,1682498158
Alaa,Mikaal,251618,251618@university.ac.uk,40000000,College of Social Sciences,88.89,11.11,50,NA,NA,NA,NA,NA,NA,1682498158
Mirza,Hossein,255080,255080@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Muhammad,Karam,271590,271590@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Ernesto,Keelie,218702,218702@university.ac.uk,40000000,College of Social Sciences,100,100,100,NA,NA,NA,NA,NA,NA,1682498158
Laurie,Elke,254502,254502@university.ac.uk,40000000,College of Social Sciences,100,44.44,NA,NA,NA,NA,NA,NA,NA,1682498158
Nikaela,Aislin,213356,213356@university.ac.uk,40000000,College of Social Sciences,88.89,55.56,83.33,NA,NA,NA,NA,NA,NA,1682498158
Donna-Marie,Courtney-Louise,273498,273498@university.ac.uk,40000000,College of Social Sciences,100,44.44,NA,NA,NA,NA,NA,NA,NA,1682498158
Senga,Attila,218651,218651@university.ac.uk,40000000,College of Social Sciences,77.78,0,NA,NA,NA,NA,NA,NA,NA,1682498158
Rowan,Athena,247444,247444@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,44.44,NA,NA,NA,NA,NA,NA,NA,1682498158
Richy,Ray,270148,270148@university.ac.uk,40000000,College of Social Sciences,88.89,88.89,66.67,50,NA,66.67,NA,NA,NA,1682498158
Jordane,Sydni,214991,214991@university.ac.uk,40000000,College of Social Sciences,88.89,100,NA,NA,NA,NA,NA,NA,NA,1682498158
Nyah,Harleigh,245248,245248@university.ac.uk,40000000,College of Social Sciences,88.89,77.78,66.67,50,NA,NA,NA,NA,NA,1682498158
Aabeer,Raman,257295,257295@university.ac.uk,40000000,College of Social Sciences,100,100,100,NA,NA,NA,NA,NA,NA,1682498158
Humphrey,Ishtiaq,278531,278531@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Arron,Nuwair,260174,260174@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,100,100,100,66.67,16.67,57.14,85.71,87.5,1682498158
Abdula,Latoyah,245182,245182@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Arlo-Jax,Tilly-Rae,225200,225200@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,66.67,33.33,NA,NA,NA,NA,NA,NA,1682498158
Oluwasemilore,Fernando,279909,279909@university.ac.uk,40000000,College of Social Sciences,100,100,NA,NA,NA,NA,NA,NA,NA,1682498158
Syana,Lourdes,250213,250213@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,100,100,100,100,100,57.14,85.71,0,1682498158
Hadiya,Leana,223882,223882@university.ac.uk,40000000,College of Social Sciences,NA,33.33,100,100,100,100,NA,NA,NA,1682498158
Swati,Brandan,236659,236659@university.ac.uk,40000000,College of Social Sciences,88.89,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Jotvingis,Tianna-Rose,270600,270600@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,66.67,16.67,NA,NA,NA,42.86,NA,NA,1682498158
Sujata,Aironas,250849,250849@university.ac.uk,40000000,College of Social Sciences,100,100,83.33,NA,NA,NA,NA,NA,NA,1682498158
Raphaelle,Mason-Jay,202611,202611@university.ac.uk,40000000,College of Social Sciences,100,0,NA,NA,NA,NA,NA,NA,NA,1682498158
Gabriel,Scott,251541,251541@university.ac.uk,40000000,College of Social Sciences,66.67,22.22,0,66.67,NA,NA,NA,NA,NA,1682498158
Kennzi,Tarun,278152,278152@university.ac.uk,40000000,College of Social Sciences,NA,NA,0,NA,NA,NA,NA,71.43,62.5,1682498158
Morvern,Mukhtar,206163,206163@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,11.11,NA,NA,NA,NA,NA,NA,NA,1682498158
Sanan,Edric,283984,283984@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,16.67,NA,NA,NA,NA,NA,1682498158
Alfred,Adanna,223180,223180@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,100,66.67,50,NA,NA,NA,NA,NA,1682498158
Muqaddam,Holly-Mae,233820,233820@university.ac.uk,40000000,College of Social Sciences,88.89,66.67,66.67,NA,NA,NA,NA,NA,NA,1682498158
Estelle,Jacob-George,290634,290634@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Trent,Jordan-Lee,224771,224771@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,88.89,100,NA,NA,NA,NA,NA,NA,1682498158
Rhuaraidh,Jesse,222975,222975@university.ac.uk,40000000,College of Social Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
